token_1,ws,token_2,count
&&,1_NL,Identifier,836
;,1_NL_27_DD_SP,},12
(,0_None,super,236
",",1_NL_20_ID_SP,Identifier,54
;,1_NL_24_DD_SP,},36
+,1_NL,String,3599
Comment,5_NL,package,2
",",1_NL_32_ID_SP,Identifier,79
{,1_NL_28_DD_SP,this,44
",",1_NL_48_ID_SP,Identifier,84
{,1_NL_44_DD_SP,if,2
",",1_NL_47_ID_SP,Identifier,28
{,1_NL_43_DD_SP,Identifier,20
",",1_NL_52_ID_SP,Identifier,31
{,1_NL_48_DD_SP,Identifier,2
;,1_NL_52_DD_SP,Identifier,4
;,1_NL_56_DD_SP,},3
{,1_NL_48_DD_SP,if,4
?,1_SP,Identifier,6315
),1_SP,:,4819
{,2_NL_48_DD_SP,Identifier,1
return,1_SP,(,3974
?,1_SP,new,272
",",1_NL_53_ID_SP,Identifier,30
{,1_NL_49_DD_SP,Identifier,10
;,2_NL,for,4095
",",1_NL_27_ID_SP,Identifier,107
),1_NL_19_ID_SP,.,22
;,1_NL_50_DD_SP,},11
Identifier,1_NL_4_ID_SP,),1
",",1_NL_44_ID_SP,Identifier,37
;,1_NL_52_DD_SP,},5
{,1_NL_36_DD_SP,this,17
Identifier,1_SP,),130010
+,1_SP,super,165
",",1_NL_31_ID_SP,Identifier,98
Identifier,1_NL,),51
{,1_NL_27_DD_SP,return,3
",",1_NL_41_ID_SP,Identifier,34
{,1_NL_37_DD_SP,return,6
Identifier,2_NL_32_DD_SP,),2
",",1_NL_43_ID_SP,Identifier,61
{,1_NL_39_DD_SP,return,11
(,1_NL_21_ID_SP,Identifier,4
Identifier,1_NL_21_DD_SP,),4
",",1_NL_60_ID_SP,Identifier,10
{,1_NL_56_DD_SP,return,13
(,0_None,Annotation,3153
",",1_NL_57_ID_SP,Annotation,6
{,1_NL_53_DD_SP,return,13
;,1_NL_44_DD_SP,},19
",",1_NL_77_ID_SP,Identifier,11
",",1_NL_32_DD_SP,Identifier,4
;,1_NL_49_DD_SP,},36
private,1_SP,<,325
",",1_NL_58_ID_SP,Annotation,3
{,1_NL_54_DD_SP,return,4
",",1_NL_78_ID_SP,Identifier,5
",",1_NL_33_DD_SP,Identifier,2
",",1_NL_59_ID_SP,Annotation,8
{,1_NL_55_DD_SP,return,15
",",1_NL_79_ID_SP,new,8
",",1_NL_34_DD_SP,Identifier,8
",",1_NL_54_ID_SP,Annotation,4
{,1_NL_50_DD_SP,return,4
",",1_NL_68_ID_SP,Annotation,18
{,1_NL_64_DD_SP,return,18
",",1_NL_88_ID_SP,Identifier,2
",",1_NL_43_DD_SP,Identifier,2
",",1_NL_70_ID_SP,Annotation,6
{,1_NL_66_DD_SP,return,8
",",1_NL_90_ID_SP,new,2
",",1_NL_45_DD_SP,Identifier,28
",",1_NL_69_ID_SP,Annotation,2
{,1_NL_65_DD_SP,return,3
",",1_NL_89_ID_SP,Identifier,2
",",1_NL_44_DD_SP,Identifier,2
",",1_NL_71_ID_SP,Annotation,2
{,1_NL_67_DD_SP,return,9
",",1_NL_91_ID_SP,new,2
",",1_NL_46_DD_SP,Identifier,2
;,2_NL,this,819
Comment,3_NL,package,334
),1_NL,default,9
default,1_SP,<,24
{,2_NL_4_ID_SP,return,191
>,1_NL_8_ID_SP,implements,83
{,2_NL_4_DD_SP,public,22
public,1_SP,abstract,2657
abstract,1_SP,class,1516
{,1_NL_2_ID_SP,final,565
this,0_None,;,8998
;,2_NL_4_DD_SP,},2390
],0_None,[,558
{,1_NL_8_ID_SP,{,13
{,0_None,String,1903
String,0_None,},1857
},0_None,",",4337
",",1_NL,{,50
",",1_NL_8_DD_SP,},91
],1_SP,+,334
],0_None,",",1424
->,1_SP,new,707
},3_NL,return,61
Identifier,1_NL_8_ID_SP,.,942
;,3_NL_12_DD_SP,},6
",",1_NL_25_ID_SP,Identifier,96
",",1_NL,int,229
{,1_NL_21_DD_SP,this,63
this,0_None,",",3438
",",1_NL_4_ID_SP,Identifier,2847
{,1_NL_2_DD_SP,this,238
{,1_NL_2_ID_SP,public,182
;,1_NL_4_DD_SP,return,774
",",1_NL_30_ID_SP,Identifier,83
{,1_NL_26_DD_SP,for,1
",",1_NL_19_ID_SP,Identifier,155
;,1_NL_19_DD_SP,Identifier,6
",",1_NL_24_ID_SP,Identifier,85
{,1_NL_20_DD_SP,this,38
",",1_NL_22_ID_SP,Identifier,82
&&,1_NL_14_DD_SP,Identifier,6
",",1_NL_18_ID_SP,Identifier,84
&&,1_NL_18_DD_SP,Identifier,2
;,1_NL_30_DD_SP,},27
Comment,1_NL,protected,3008
protected,1_SP,int,539
{,2_NL_2_ID_SP,int,29
),1_NL_4_ID_SP,.,2281
;,1_NL_4_DD_SP,Identifier,1316
+,1_SP,DecimalInteger,4244
Identifier,1_SP,>=,3027
>=,1_SP,Identifier,1727
Identifier,1_SP,||,1973
;,1_NL,super,270
{,1_NL_2_ID_SP,try,846
{,2_NL_2_ID_SP,if,87
),1_SP,instanceof,2363
{,1_NL_2_DD_SP,return,567
{,1_NL_48_DD_SP,this,5
),1_NL_15_ID_SP,.,44
class,0_None,::,118
::,0_None,Identifier,4167
->,1_SP,(,126
;,1_NL_19_DD_SP,},42
>,1_SP,implements,838
",",1_NL_34_ID_SP,Identifier,84
{,1_NL_30_DD_SP,this,15
{,2_NL_2_ID_SP,Comment,503
{,1_NL_2_ID_SP,synchronized,149
{,2_NL_2_ID_SP,Annotation,218
},2_NL,boolean,534
},2_NL,for,1421
{,2_NL_4_ID_SP,enum,21
Identifier,1_NL_4_DD_SP,},289
{,1_NL_29_DD_SP,this,15
",",1_NL_63_ID_SP,Identifier,33
{,1_NL_59_DD_SP,Identifier,6
(,1_NL_4_ID_SP,Identifier,8027
;,2_NL_4_DD_SP,Identifier,739
;,1_NL_8_DD_SP,},2992
{,2_NL_4_DD_SP,Annotation,15
